epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1181.26,1.48042,2.1192,1.47025,0.25831,0.23182,0.16864,0.09024,1.70311,4.65376,1.64353,0.000366172,0.000366172,0.000366172
2,2317.39,1.5023,1.67004,1.49478,0.2789,0.37022,0.25088,0.12899,1.82135,3.10944,1.70139,0.000736006,0.000736006,0.000736006
3,3346.51,1.51868,1.63649,1.51418,0.5152,0.41749,0.39028,0.19235,1.80585,2.59796,1.74718,0.00110384,0.00110384,0.00110384
4,4409.76,1.51941,1.63965,1.507,0.4823,0.45381,0.40688,0.21196,1.65906,2.2683,1.57384,0.00110423,0.00110423,0.00110423
5,5515.19,1.47342,1.52046,1.46702,0.57252,0.47387,0.45133,0.23295,1.76767,1.87256,1.63987,0.00109898,0.00109898,0.00109898
6,6695.73,1.44325,1.44515,1.45384,0.66217,0.57202,0.61159,0.34199,1.55864,1.37537,1.47074,0.00109226,0.00109226,0.00109226
7,7694.53,1.40773,1.34826,1.42256,0.63736,0.58302,0.61049,0.36202,1.49551,1.44751,1.43998,0.00108408,0.00108408,0.00108408
8,8569.35,1.39308,1.31027,1.41636,0.63184,0.60813,0.62437,0.36967,1.48742,1.40997,1.44341,0.00107447,0.00107447,0.00107447
9,9615.39,1.35673,1.27724,1.40226,0.6341,0.59733,0.61578,0.37418,1.47698,1.32582,1.43159,0.00106345,0.00106345,0.00106345
10,10531.4,1.32457,1.24078,1.39409,0.63273,0.60262,0.62684,0.3919,1.43771,1.30332,1.40807,0.00105106,0.00105106,0.00105106
11,11540.9,1.304,1.18619,1.3647,0.65907,0.60413,0.65254,0.38184,1.5341,1.23546,1.46466,0.00103732,0.00103732,0.00103732
12,12414.9,1.26051,1.14092,1.33645,0.70082,0.62632,0.66285,0.38626,1.49293,1.26612,1.46473,0.00102228,0.00102228,0.00102228
13,13425.3,1.26361,1.12175,1.34554,0.69228,0.69231,0.72415,0.4456,1.40014,1.08887,1.38464,0.00100597,0.00100597,0.00100597
14,14249.1,1.24014,1.09175,1.33582,0.65768,0.6416,0.68229,0.42064,1.40956,1.17969,1.38948,0.000988443,0.000988443,0.000988443
15,15225.9,1.21576,1.06495,1.30767,0.69988,0.64536,0.69481,0.43763,1.40453,1.13646,1.38006,0.000969744,0.000969744,0.000969744
16,16158.5,1.2131,1.03952,1.31138,0.67872,0.66463,0.68222,0.43282,1.37169,1.17836,1.34007,0.000949925,0.000949925,0.000949925
17,17111.4,1.18933,1.00713,1.29296,0.78143,0.65474,0.72592,0.46295,1.37769,1.06417,1.36309,0.00092904,0.00092904,0.00092904
18,18046.5,1.1562,0.97597,1.27773,0.71246,0.66854,0.70376,0.42595,1.43784,1.12926,1.3981,0.000907147,0.000907147,0.000907147
19,19017.2,1.15805,0.96481,1.27544,0.71175,0.66721,0.72612,0.45939,1.3537,1.06253,1.35972,0.000884305,0.000884305,0.000884305
20,19943.1,1.15,0.93154,1.25803,0.72249,0.70325,0.74501,0.46673,1.3752,1.16254,1.36109,0.000860577,0.000860577,0.000860577
21,20830.8,1.12355,0.91556,1.25452,0.73607,0.71674,0.75475,0.48312,1.39815,1.04243,1.36672,0.000836028,0.000836028,0.000836028
22,21623.1,1.11024,0.88918,1.24873,0.71627,0.66671,0.72874,0.46868,1.35518,1.08826,1.34823,0.000810725,0.000810725,0.000810725
23,22594.1,1.09188,0.86829,1.22915,0.68624,0.69222,0.72111,0.45819,1.37905,1.04571,1.36178,0.000784738,0.000784738,0.000784738
24,23375.1,1.08599,0.84605,1.22184,0.72022,0.70823,0.75383,0.48657,1.33863,1.01518,1.34816,0.000758138,0.000758138,0.000758138
25,24352.9,1.06128,0.83181,1.21527,0.74212,0.71351,0.75655,0.48792,1.33951,1.011,1.33743,0.000730997,0.000730997,0.000730997
26,25260.5,1.06455,0.82692,1.21584,0.71661,0.66018,0.71872,0.45799,1.35891,1.03752,1.34312,0.000703391,0.000703391,0.000703391
27,26020,1.05752,0.80845,1.21291,0.72697,0.666,0.73276,0.48113,1.35417,1.04714,1.35797,0.000675395,0.000675395,0.000675395
28,26768.9,1.01842,0.78052,1.18908,0.71684,0.71315,0.7559,0.49676,1.31454,0.98255,1.32241,0.000647085,0.000647085,0.000647085
29,27615.1,1.00425,0.74153,1.18184,0.76549,0.68169,0.7505,0.48165,1.35822,1.03961,1.37312,0.00061854,0.00061854,0.00061854
30,28499,0.99857,0.73715,1.1734,0.70563,0.69732,0.75038,0.48325,1.38198,1.00712,1.37769,0.000589837,0.000589837,0.000589837
31,29289.9,0.99521,0.73808,1.17577,0.74149,0.71498,0.76024,0.49622,1.33132,1.02952,1.33694,0.000561055,0.000561055,0.000561055
32,30015.4,0.95571,0.71406,1.15804,0.74549,0.69235,0.74653,0.48117,1.3663,1.04454,1.38244,0.000532273,0.000532273,0.000532273
33,30805.3,0.95571,0.70513,1.15115,0.76988,0.71127,0.75885,0.49878,1.3354,1.02524,1.34664,0.00050357,0.00050357,0.00050357
34,31596.8,0.9612,0.69536,1.1513,0.7234,0.7263,0.76793,0.50504,1.33315,0.9981,1.35213,0.000475025,0.000475025,0.000475025
35,32521.8,0.91886,0.66975,1.13202,0.74311,0.67472,0.73699,0.48176,1.33122,1.08234,1.34726,0.000446715,0.000446715,0.000446715
36,33329.9,0.92656,0.66419,1.12735,0.71956,0.72211,0.75958,0.5049,1.30988,1.05192,1.31313,0.000418719,0.000418719,0.000418719
37,34191,0.91118,0.65345,1.11821,0.75048,0.71243,0.76901,0.51152,1.35335,1.01273,1.3631,0.000391113,0.000391113,0.000391113
38,34999.3,0.90101,0.62325,1.11769,0.76746,0.66232,0.75228,0.4995,1.32493,1.11839,1.3268,0.000363972,0.000363972,0.000363972
39,35891.9,0.88297,0.61296,1.10095,0.71593,0.70592,0.74992,0.5049,1.31193,1.07034,1.32738,0.000337372,0.000337372,0.000337372
40,36589.6,0.85021,0.59,1.08895,0.74978,0.6905,0.75209,0.50253,1.3304,1.07343,1.35667,0.000311385,0.000311385,0.000311385
41,37525.8,0.85767,0.59249,1.09215,0.7481,0.67694,0.74838,0.50157,1.33746,1.09873,1.37026,0.000286083,0.000286083,0.000286083
42,38388.5,0.83803,0.57199,1.0814,0.76346,0.67714,0.75995,0.50509,1.33182,1.06067,1.34244,0.000261533,0.000261533,0.000261533
43,39234.9,0.83894,0.56115,1.07791,0.7618,0.66035,0.73415,0.49836,1.32942,1.15898,1.35224,0.000237805,0.000237805,0.000237805
44,39910.9,0.82926,0.55065,1.0763,0.73987,0.66235,0.73795,0.4951,1.31539,1.17602,1.34532,0.000214963,0.000214963,0.000214963
45,40903.6,0.81538,0.54398,1.06655,0.74639,0.66867,0.74387,0.49796,1.32905,1.11154,1.35723,0.00019307,0.00019307,0.00019307
46,41594.9,0.79538,0.53221,1.06018,0.72051,0.68505,0.75042,0.50873,1.32716,1.13227,1.34714,0.000172185,0.000172185,0.000172185
47,42464.6,0.79303,0.5225,1.06264,0.74968,0.68427,0.74522,0.50174,1.31969,1.13994,1.36181,0.000152366,0.000152366,0.000152366
48,43226.4,0.78015,0.51099,1.04277,0.74831,0.68451,0.74599,0.50081,1.32724,1.12679,1.36402,0.000133667,0.000133667,0.000133667
49,44101.5,0.77613,0.51471,1.05119,0.7713,0.65813,0.73672,0.49568,1.32284,1.20468,1.35761,0.00011614,0.00011614,0.00011614
50,44989.6,0.76917,0.50379,1.04666,0.74981,0.66578,0.74676,0.50686,1.32772,1.15389,1.35062,9.98323e-05,9.98323e-05,9.98323e-05
51,45972.5,0.75233,0.42451,1.02479,0.7565,0.67455,0.7474,0.49993,1.36459,1.14432,1.38954,8.47887e-05,8.47887e-05,8.47887e-05
52,46783.7,0.72672,0.39606,1.01762,0.7581,0.67043,0.74844,0.50429,1.3528,1.17333,1.3882,7.10504e-05,7.10504e-05,7.10504e-05
53,47755.5,0.71395,0.39008,1.00982,0.76119,0.67973,0.75422,0.50691,1.35208,1.14128,1.38463,5.86552e-05,5.86552e-05,5.86552e-05
54,48525.4,0.7037,0.37792,1.00164,0.72982,0.69446,0.74922,0.5023,1.36507,1.1687,1.39837,4.76371e-05,4.76371e-05,4.76371e-05
55,49372.8,0.69254,0.37135,0.99703,0.7146,0.7133,0.75264,0.50438,1.35284,1.17426,1.39137,3.80262e-05,3.80262e-05,3.80262e-05
56,50309.6,0.69015,0.36912,0.98971,0.7284,0.69045,0.75043,0.5045,1.35266,1.16798,1.39188,2.98489e-05,2.98489e-05,2.98489e-05
57,51362.9,0.69467,0.36624,0.99452,0.72405,0.69334,0.74854,0.50416,1.35056,1.19397,1.38895,2.31276e-05,2.31276e-05,2.31276e-05
58,52252.2,0.68403,0.36513,0.99178,0.72076,0.70211,0.74673,0.50144,1.35609,1.18088,1.3963,1.78807e-05,1.78807e-05,1.78807e-05
59,53232.2,0.68266,0.36166,0.98617,0.74115,0.67544,0.74362,0.49976,1.35761,1.18637,1.3955,1.41227e-05,1.41227e-05,1.41227e-05
60,54187.4,0.67659,0.35942,0.98557,0.73595,0.68669,0.74791,0.50203,1.35293,1.2014,1.39141,1.18637e-05,1.18637e-05,1.18637e-05
